ID	env	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
W016	2014WH	17.06666667	5.666666667	11.33333333	8.9	2.75	5.5	3.166666667	40.19047619
C078	2014WH	31.4	13	51	13.9	2.783333333	6.333333333	3.5	41.06451613
C203	2014WH	NA	NA	NA	NA	NA	NA	NA	47.13636364
C016	2014WH	16.86666667	5.666666667	14.33333333	9.7	2.85	5.166666667	3.166666667	48.24390244
C113	2014WH	23.1	8.666666667	25.33333333	11.55	2.833333333	5.5	3	49.79310345
W293	2014WH	NA	NA	NA	NA	NA	NA	NA	50.90625
W109	2014WH	19.36666667	5	12.33333333	8.65	2.65	5	3	51.94117647
W262	2014WH	21.96666667	9	27.33333333	10.85	2.233333333	5.333333333	3.333333333	52.62162162
W316	2014WH	22.26666667	8	10.66666667	10.75	2.483333333	5.833333333	2.5	52.81481481
W051	2014WH	NA	NA	NA	NA	NA	NA	NA	53.82857143
W239	2014WH	26.23333333	13.33333333	29.66666667	11.31666667	2.733333333	5.666666667	3	55.05555556
C018	2014WH	16.6	7.333333333	10.66666667	7.833333333	1.85	6.166666667	3	56.55813953
W150	2014WH	24.73333333	8.333333333	8	9.025	3.1	6.25	3.25	58
W044	2014WH	22.43333333	9.666666667	17.33333333	10.26666667	2.983333333	5.5	3	58.0625
C024	2014WH	21.23333333	11.33333333	26.66666667	10.51666667	2.733333333	5.833333333	3	58.44827586
C017	2014WH	24.53333333	11.33333333	20.66666667	8.883333333	1.866666667	6.5	2.833333333	58.82608696
W261	2014WH	23.13333333	7.333333333	14	11.86666667	2.816666667	6.166666667	2.666666667	61.875
W139	2014WH	20.56666667	7.333333333	16	10.75	2.683333333	6	3.666666667	61.92105263
C021	2014WH	20.3	8.333333333	20	11.2	2.366666667	6	2.833333333	63.65714286
W304	2014WH	NA	NA	NA	NA	NA	NA	NA	64.6
W045	2014WH	20.9	6	12	10.2	2.7	5.333333333	3	64.71428571
W301	2014WH	25.36666667	9	17.33333333	12.9	3.383333333	5.333333333	3.166666667	65.70731707
W083	2014WH	26.4	11.33333333	24.33333333	9.95	2.583333333	5.666666667	3	67.01886792
W133	2014WH	25.26666667	10.66666667	23.66666667	10.35	2.266666667	6.166666667	3	70
W046	2014WH	24.66666667	11.66666667	16	11	2.566666667	6	2.833333333	70.55
C182	2014WH	26.76666667	10.33333333	30.66666667	13.7	3	5.666666667	2.833333333	70.73809524
W096	2014WH	24.2	8.333333333	16.33333333	12.75	2.733333333	5.833333333	3.5	71.21052632
W183	2014WH	25.7	10.33333333	23	11.7	3.1	5	3.166666667	71.58536585
W081	2014WH	31.46666667	9.666666667	14.33333333	14.85	3.1	6.666666667	2.833333333	71.76785714
W299	2014WH	22.66666667	12	30.33333333	10.18333333	2.183333333	5.833333333	3	73.46153846
W098	2014WH	23.9	11	20.66666667	10.71666667	2.35	6.333333333	3	73.46774194
C077	2014WH	27.7	12	32	12.11666667	2.3	6.833333333	2.833333333	74.09090909
C084	2014WH	NA	NA	NA	NA	NA	NA	NA	74.17857143
W043	2014WH	NA	NA	NA	NA	NA	NA	NA	75.03571429
W192	2014WH	NA	NA	NA	NA	NA	NA	NA	75.74
C027	2014WH	24.83333333	10	18.33333333	12.8	3.1	6.166666667	3	76.55555556
C001	2014WH	23.46666667	8.666666667	24.33333333	12.56666667	2.833333333	6.333333333	3.166666667	76.65116279
W169	2014WH	22.46666667	10.66666667	14	11.48333333	2.9	5.5	2.666666667	77.87179487
W179	2014WH	24.16666667	9.333333333	28	13.83333333	3.933333333	5.833333333	4	78.42857143
W137	2014WH	NA	NA	NA	NA	NA	NA	NA	79.2972973
