"ID","Heading_date/days","Plant_height/cm","Leaf_length/cm","Leaf_width/cm","Tiller_angle/<U+00B0>","Full_grain_number_per_plant","Valid_panicle_number","Full_grain_number_per_panicle","Kilo-grain_weight/g","Seed_setting_rate.(%)","Yield_per_plant/g","Amylose_content","Gel_consistency","Chalkiness","Chalky_grain_percentage","Grain_shape(Length_to_width_ratio_of_polished_grain)","Grain_translucency_level","X19"
"ZJN878",89,112,33.23,2.17,73.3,1437,8.33,172.31,25.83,0.7,32.86,17.59,90,3.35,11.55,3.098,1,NA
"ZJN879",86,124.67,42.5,1.9,71.7,1796,11.67,153.17,30.33,0.69,48.08,18.42,81,3.96,17.19,3.075,1,NA
"ZJN880",92,121.33,40.1,1.73,78.3,1316,7.67,170.86,30.17,0.88,35.17,20.315,95,1.01,4.59,3.646,1,NA
"ZJN881",83,104.33,37.25,1.97,84.7,1376,8,172.54,23.05,0.82,28.09,25.235,90,2.66,6.85,3.195,2,NA
"ZJN885",83,115.33,32.43,2.07,83.3,1689,6.33,266.17,28.35,0.8,44.49,16.46,85,4.25,17.7,2.745,2,NA
"ZJN887",84,114.33,36.57,2.13,80.3,1409,7,204.41,26.18,0.73,33.15,14.335,93,7.95,25.42,3.37,2,NA
"ZJN891",83,122.67,49.33,2.13,75.3,1640,5.67,278.94,26.25,0.86,39.64,15.89,91.5,3.12,14.76,2.629,2,NA
"ZJN896",82,114.67,48.35,1.9,73.3,1292,7.33,170.32,23.42,0.51,27.6,15.41,90,4.62,16.35,3.333,2,NA
"ZJN898",83,123,35.43,2.53,70,2291,11.5,200.1,30.05,0.74,62.96,23.47,92,3.78,12.62,3.165,2,NA
"ZJN899",94,132,35.83,2.07,73.3,1040,6.33,165.91,34.34,0.93,32.87,20.885,86,5.45,22.88,3.099,1,NA
"ZJN900",86,114.67,40.3,1.97,70,1726,8,216.22,23.48,0.8,35.51,18.505,88,1.88,7.86,3.095,2,NA
"ZJN901",98,121,33.43,1.9,79.7,1419,8,177.42,27,0.82,33.75,18.46,78.5,0.78,3.04,3.31,1,NA
"ZJN906",92,129,37.4,2.2,82.3,1771,9.67,182.96,28.92,0.8,44.32,20.395,84.5,3.86,13.66,3.091,1,NA
"ZJN910",85,112.67,38.47,1.93,77.3,1586,7.67,206.2,32.12,0.91,45.75,19.095,87.5,4.62,19.69,3.206,2,NA
"ZJN915",76,115.67,45.53,1.93,70,1934,9,214.05,24.03,0.62,40.9,24.47,57.5,3.8,13.13,2.983,2,NA
"ZJN916",90,112.33,41.83,2,86,1548,9,169.11,26,0.64,36.3,19.36,85,4.72,19.66,2.879,2,NA
"ZJN917",82,109.67,35.53,1.87,81.7,862,6,144.46,25.75,0.67,20.93,13.365,80,6.01,19.52,3.304,3,NA
"ZJN918",83,106.33,34.4,1.93,84.3,1868,9.5,196.82,25.92,0.78,43.44,18.96,91,3.01,11.02,3.175,1,NA
"ZJN921",86,111.67,38.17,1.9,83,1059,5.33,199.34,30.31,0.66,29.01,14.38,96,7.75,28.24,3.237,2,NA
"ZJN923",89,109.67,44.63,2.27,81.7,1230,4.67,258.63,22.81,0.69,25.68,17.705,85,2.13,8,3.152,2,NA
"ZJN926",83,112,39,1.87,84.3,956,5.33,184.64,25.28,0.66,22.08,19.84,70,3.08,10.79,3.227,1,NA
"ZJN928",89,120.67,36.1,1.97,83,1001,7.33,127.21,29.71,0.58,28,19.135,80,3.99,16.49,3.267,1,NA
"ZJN929",84,120.67,45.93,2.27,81.3,1314,5.67,233.51,27.33,0.74,34.22,16.275,87.5,8.8,31.35,2.936,2,NA
"ZJN932",90,120.33,44.17,2,81.7,1227,6,202.3,29.49,0.87,31.91,21.355,86,5.06,29.4,3.083,1,NA
"ZJN933",92,118.67,29.77,1.83,85.3,2049,8.67,228.33,27.75,0.85,50.36,18.675,77,2.03,8.13,3.34,1,NA
"ZJN937",96,132.5,38.1,2.03,77.3,1787,6.5,277.63,25.93,0.83,41.58,19.625,77,0.74,3.71,3.403,1,NA
"ZJN938",88,111.67,41.57,2.35,83.7,2601,11.5,221.12,23.74,0.77,55.25,16.895,83,2.32,9.35,3.119,2,NA
"ZJN939",83,107.67,30.43,1.87,84.3,1116,7,157.42,27.54,0.81,27.2,20.975,71,5.18,17.7,2.856,3,NA
"ZJN940",88,112,42.03,1.8,76,878,4.5,184.83,27.79,0.85,22.64,21.12,88,6.31,23.57,3.201,2,NA
"ZJN942",98,127,34.1,1.77,66.7,982,4,247.04,26.16,0.58,23.42,19.75,92,1.11,5.01,2.709,1,NA
"ZJN943",86,105.33,45.53,1.55,73.3,1448,8.33,170.93,24.26,0.69,31.98,25.015,68.5,2.88,9.23,3.099,2,NA
"ZJN944",86,107.67,42.33,1.75,66.7,1378,7.33,189.37,22.76,0.73,28.29,16.43,74,3.46,13.37,3.357,2,NA
"ZJN945",91,120.33,38.83,2.4,81.7,1511,6,248.12,26.32,0.67,35.74,19.975,73,2.91,9.55,3.068,1,NA
"ZJN947",88,107.67,32.8,1.83,80.3,1488,7,213.44,28.91,0.74,40.15,17.37,85,7.23,25.92,3.006,2,NA
"ZJN949",86,108.5,35.3,2.13,80.7,1463,8,182.78,24.98,0.64,33.87,18.7,76,1.87,7.78,3.091,2,NA
"ZJN950",88,125.67,41.73,2.55,77,986,5.67,171.68,30.42,0.58,28.22,17.225,75,5.84,24.59,3.176,2,NA
"ZJN951",92,121,39.83,2,85,871,5,176.5,31.03,0.63,23.68,18.455,93.5,5.3,17.58,3.394,2,NA
"ZJN952",89,117.33,38.3,1.83,81,851,7.67,107.15,26.11,0.56,20.75,17.405,81,2.98,11.64,3.24,2,NA
"ZJN953",90,132.67,40.27,2,84.3,805,5,161.42,31.57,0.84,22.26,26.03,85,9.98,47.6,2.985,2,NA
"ZJN961",87,115.67,48.5,2.2,78.3,1689,9.5,178.08,32.74,0.65,49.84,17.61,94,5,19.94,3.011,2,NA
"ZJN962",92,129,40.7,2.1,85,1333,8,170.16,29,0.91,32.8,18.295,76,1.2,5.81,3.229,1,NA
"ZJN963",88,115.67,42.27,2.03,82,1764,8,212.56,24.63,0.71,38.79,16.015,90,3.49,13.91,3.041,2,NA
"ZJN966",94,120.33,33.6,1.9,75,1490,8,187.85,23.83,0.81,32.16,16.215,83,2.97,11.49,2.844,2,NA
"ZJN967",88,120.67,36.67,2,85.7,1318,7.33,179.31,28.03,0.73,31.69,18.855,80,3.82,15.69,3.102,2,NA
"ZJN970",90,112,37.1,2.17,82,1344,6,218.6,25.25,0.61,27.95,25.17,53,2.15,9.45,3.244,1,NA
"ZJN973",82,102,37.47,1.8,80,1182,9.33,127.13,22.51,0.74,24.65,13.535,75,9.01,27.35,3.12,3,NA
"ZJN981",86,123,58.93,2.07,80,1177,5.33,223.48,27.78,0.84,30.59,14.715,86.5,5.55,20.36,2.998,3,NA
"ZJN983",82,109.33,44.23,1.93,69.3,1561,10.33,150.32,23.53,0.76,32.58,13.665,93,4.04,12.69,3.253,3,NA
