"ID","Heading_date/days","Plant_height/cm","Leaf_length/cm","Leaf_width/cm","Tiller_angle/<U+00B0>","Full_grain_number_per_plant","Valid_panicle_number","Full_grain_number_per_panicle","Kilo-grain_weight/g","Seed_setting_rate.(%)","Yield_per_plant/g","Amylose_content","Gel_consistency","Chalkiness","Chalky_grain_percentage","Grain_shape(Length_to_width_ratio_of_polished_grain)","Grain_translucency_level","X19"
"ZJN1224",90,124.67,44.7,2.13,79,1668,10.33,159.1,29.28,0.83,43.04,27.195,85,9.32,33.6,2.584,3,NA
"ZJN1226",89,119,38.73,2.17,78.7,1010,5.67,180.47,29.55,0.63,26.16,26.62,95.5,5.76,21.29,3.164,3,NA
"ZJN1227",88,126,53.9,1.97,84.7,1248,5,252.39,26.49,0.73,29.45,26.265,74.5,6.71,27.18,2.475,1,NA
"ZJN1228",93,124.33,39.1,1.63,81,1826,9.67,183.1,26.94,0.89,43.79,27.505,86,3.92,14.18,3.646,2,NA
"ZJN1231",91,123.67,38.8,2.13,79.7,1736,10.33,168.57,30.42,0.8,47.15,17.955,96,8.31,34.67,2.973,2,NA
"ZJN1234",87,106,48.63,2.03,86.3,1938,10.33,187.47,26.9,0.69,47.29,14.165,85,8.01,30.07,2.874,3,NA
"ZJN1245",76,107.67,36.2,1.97,73.3,1809,12.33,147.77,29.88,0.88,50.2,13.81,89,4.56,16.58,2.925,3,NA
"ZJN1247",87,120.33,51.47,1.7,84.3,1322,8,161.74,26.27,0.75,31.58,19.815,92.5,2.59,10.13,2.866,2,NA
"ZJN1253",83,116.33,50,2,80.3,1017,8,127.17,30.03,0.69,28.27,18.64,96.5,7.7,27.24,2.975,2,NA
"ZJN1254",89,119.67,45.67,2.45,84,963,7.67,130.08,30.13,0.47,27.35,26.575,89,9.12,35.84,2.854,2,NA
"ZJN1256",74,113,53.93,1.77,76,1340,9.67,135.31,25.58,0.82,31.94,15.45,91.5,5.5,18.21,3.182,2,NA
"ZJN1263",77,114,49.87,1.63,84.3,1703,10.67,157.79,27.12,0.87,42.63,18.225,84,3.52,12.2,3.105,2,NA
"ZJN1266",74,110.67,44.1,1.67,81.3,1286,7.67,167.91,21.81,0.71,23.31,19.56,80,4.8,15.17,3.163,2,NA
"ZJN1268",75,109.33,32.53,1.7,76.3,1381,11.67,119.24,23.17,0.85,28.66,14.1,88,8.96,26.61,3.795,3,NA
"ZJN1271",72,97.33,32.63,1.63,83.7,1398,9.67,145.62,22.11,0.83,27.36,14.995,88,4.09,12.46,3.978,2,NA
"ZJN1273",81,104.33,39.03,1.73,85,1303,8,159.19,23.92,0.73,26.93,19.945,82,1.78,5.81,3.804,1,NA
"ZJN1274",83,106.67,46.23,1.83,80,2335,11,214.3,19.24,0.69,40.07,18.29,76,1.63,5.86,4.107,2,NA
"ZJN1278",73,91.67,35.03,1.73,86,910,6,152.85,27.06,0.74,20.93,13.07,82,8.27,25.4,3.155,3,NA
"ZJN1280",82,104.5,37.27,1.7,83.3,1313,11.67,114.02,27.92,0.88,32.51,13.99,81,4.44,15.26,3.222,2,NA
"ZJN1282",86,112.33,50.67,1.97,76,1942,10.33,188.13,21.19,0.77,36.61,17.115,85,4.45,14.86,3.694,2,NA
"ZJN1287",76,100,49.97,1.73,84.7,1204,6.33,187.81,21.99,0.66,23.68,18.16,89,4.99,15.75,3.564,2,NA
"ZJN1289",72,100.67,44.53,1.77,75.7,1643,11.5,142.23,24.16,0.81,35.21,17.545,83,3.6,12.11,3.653,2,NA
"ZJN1292",81,105.33,30.85,1.93,74.3,1951,12.33,157.99,22.86,0.76,39.24,16.24,90,4.1,12.99,2.844,2,NA
"ZJN1293",77,105.67,47.13,2.3,71.7,1024,6.33,168.22,23.27,0.75,21.93,22.225,60,3.93,12.8,3.137,2,NA
"ZJN1294",77,99.33,40.57,2.1,80,1387,10.33,134.36,24.03,0.76,29.52,16.04,94,6.79,20.94,3.106,2,NA
"ZJN1297",74,103.33,39.73,1.5,69.3,1749,13,139.16,23.04,0.89,36.09,15.225,90,4.76,14.4,3.184,2,NA
"ZJN1298",73,104,47.27,2.2,74.3,1213,8,152.09,23.67,0.84,26.2,13.945,90,7.02,22.49,3.056,3,NA
"ZJN1300",77,102,39.7,2.07,74,1088,8.67,125.38,23.43,0.78,22.07,24.025,52.5,2.48,9.55,3.669,2,NA
"ZJN1307",75,104.67,49.9,2.03,86.7,1829,13.33,137.01,24.14,0.76,39.27,20.925,80,3.58,10.14,3.147,2,NA
"ZJN1310",74,115.33,46.5,2.03,81.7,1431,10.67,131.76,28.23,0.85,36.42,24.47,48,10.07,27.81,2.908,3,NA
"ZJN1312",81,103.33,35.2,1.93,80,1611,10,162.83,22.81,0.84,32.15,26.61,62.5,5.6,15.64,2.74,2,NA
"ZJN1315",73,96.33,40.47,1.93,83.3,1772,15.5,114.29,27.19,0.81,43.39,29.37,60,6.92,21.51,2.999,3,NA
"ZJN1317",73,101.67,34.5,2.23,79,1545,8.33,183.31,26.02,0.77,36.17,14.815,81.5,6.8,17.93,3.162,3,NA
"ZJN1319",70,101,38.3,1.93,82.3,2047,15,138.74,25.09,0.85,45.3,13.37,85,6.63,18.98,2.803,3,NA
"ZJN1320",72,103.67,32.57,2.03,80,3016,16.67,185.94,23.51,0.86,61.39,14.25,90,8.68,22.41,3.111,3,NA
"ZJN1322",71,103.67,45.87,2.2,84,1272,5,254.4,26.5,0.91,29.98,21.515,35,12.96,29.39,3.027,3,NA
"ZJN1327",71,115.67,34.1,2.07,84,1026,7.5,137.61,25.78,0.85,24.21,16.19,75,6.58,21.11,3.183,3,NA
"ZJN1328",76,109.67,40,1.87,80,1902,17.33,110.29,26.08,0.91,46.14,16.83,93,2.16,9.34,3.515,2,NA
"ZJN1329",70,100.67,50.87,1.77,84,1629,11.67,138.94,22.92,0.86,33.45,24.475,34,7,17.33,3.181,3,NA
"ZJN1334",73,102,54.1,1.83,82.3,1158,9.33,127.17,26.89,0.87,28.65,11.43,85,7.73,23.85,2.904,3,NA
"ZJN1335",75,99,44.6,1.77,79.7,1979,11,182.96,22.88,0.9,41.24,19.02,73.5,5.05,13.2,3.105,2,NA
"ZJN1336",70,102.33,44.9,2,81.3,1006,6.33,160.18,23.38,0.91,21.33,24.475,35,10.6,25.23,2.977,3,NA
"ZJN1337",80,101.33,51.95,2.15,85,1575,8.33,190.67,25.35,0.81,35.71,25.84,63,4.88,15.4,2.991,2,NA
"ZJN1339",81,107.67,42.7,1.93,81.3,1446,6.67,215.63,20.31,0.86,26.61,14.95,88.5,5.03,15.35,2.792,2,NA
"ZJN1340",75,102.33,51.8,1.7,76.7,2620,15.67,166.23,20.73,0.89,48.65,13.205,85,3.43,11.64,3.471,2,NA
"ZJN1341",74,106.67,48.67,1.73,85.3,1598,10.33,153.34,23.08,0.84,31.13,23.655,66.5,5.67,17.07,3.093,2,NA
"ZJN1344",72,105,43.3,1.77,84,1610,10.67,152.67,26.96,0.89,38.65,14.86,86,14.57,44.81,2.915,3,NA
"ZJN1347",76,98.67,44.27,1.9,81.7,1484,10.5,139.75,30.45,0.82,40.41,25.47,60,10.19,33.09,3.137,4,NA
"ZJN1354",76,97.67,48.07,1.7,76.7,1187,8.67,135.53,21.71,0.79,24.12,14.485,85,4.4,15.31,3.104,3,NA
"ZJN1356",75,105,43.93,2.23,75.3,2207,11,201.66,23.72,0.85,46.65,28.745,42.5,5.31,15.11,3.224,2,NA
"ZJN1359",71,90.67,46.53,1.57,81.3,2536,18,141.14,23.32,0.86,51.86,15.525,83,8.93,19.92,3.511,2,NA
"ZJN1362",71,97.67,46.97,1.83,83.7,1823,9.67,190.97,23.81,0.83,39.71,13.12,87,7.15,21.4,3.223,2,NA
"ZJN1363",72,99.67,43.17,1.73,84,1714,10.67,160.22,28.83,0.91,46.15,13.125,93,6.14,17.26,3.273,3,NA
"ZJN1366",75,105,43.13,1.6,74.3,2584,14.33,180.2,23.29,0.83,57.26,24.69,58.5,5.06,20.77,3.086,2,NA
"ZJN1369",73,102.33,42.57,1.9,75,1769,11.5,152.93,27.53,0.79,45.57,13.52,84,7.78,25.77,3.367,3,NA
"ZJN1371",74,106.33,54,2.03,81.3,1976,9,217.2,28.05,0.9,50.36,14.09,92,8.23,29.37,2.983,3,NA
"ZJN1378",75,110.33,43.97,2.17,86,1175,8,147.39,28.73,0.78,30.53,27.125,55.5,9.43,29.95,3.396,2,NA
"ZJN1379",77,102,47.7,1.9,82.3,1653,8.67,183.86,22.19,0.81,32.51,17.28,77,3.42,12.5,2.859,2,NA
"ZJN1380",75,106,47.8,1.97,82.3,2667,14.33,185.61,24.19,0.82,54.99,26.625,72,4.7,17.01,2.776,2,NA
"ZJN1381",74,108,47.57,2,80,1378,9,153.18,31.17,0.79,39.07,29.775,50,30.83,68.42,2.635,4,NA
"ZJN1382",75,110,36.1,1.73,83.3,1227,9,136.21,24.54,0.88,27.63,24.32,38.5,2.23,9.2,3.561,2,NA
"ZJN1384",74,102.33,61,1.9,78.7,1975,8.67,227.41,21.45,0.83,35.74,18.3,90,5.25,15.13,3.317,2,NA
"ZJN1386",74,97.33,53.93,1.25,83.3,999,10,103.16,23.9,0.62,21.2,17.195,85,6.97,19.67,3.175,3,NA
"ZJN1387",76,107.33,59.5,1.73,81.7,2205,15,149.68,31.34,0.85,61.76,22.955,67.5,10.91,38.61,2.883,3,NA
"ZJN1391",71,99.67,46.1,1.6,74.7,1135,6.67,172.51,23.8,0.85,24.97,14.34,100,4.7,15.3,3.095,2,NA
"ZJN1393",81,109.33,55.47,1.9,82,932,7,135.88,26.66,0.83,22.08,26.03,75,3.3,13.32,2.859,2,NA
"ZJN1394",72,100.67,49.07,1.77,81,1006,8.33,121,28.03,0.81,25.36,25.845,75,9.73,28.43,3.058,3,NA
"ZJN1395",83,112.67,44.17,2.3,84.3,1501,6.67,225.87,25.19,0.78,33.78,29.365,85,5.32,18.77,3.093,3,NA
"ZJN1399",71,95.33,51.17,1.6,83.7,873,8.33,106.44,29.84,0.82,24.4,14.525,90,10.07,29.23,3.265,3,NA
"ZJN1400",85,91.33,44.47,1.5,82.7,1232,10,124.65,25.67,0.89,28.58,24.655,98.5,7.35,22.53,3.266,3,NA
"ZJN1401",71,85.67,43.67,1.43,72.3,796,11.33,73.97,24.99,0.67,18.29,22.75,30,7.07,21.86,3.459,3,NA
"ZJN1402",72,115.33,48.03,1.73,79.3,1339,9.67,137.49,29.4,0.84,36.65,25.215,52.5,5.54,17.37,3.183,2,NA
"ZJN1403",72,102.67,50.13,1.93,76.3,917,8.33,106.76,23.34,0.74,20.16,12.445,89,9.69,26.33,2.605,3,NA
"ZJN1404",77,107,45.8,1.9,75.3,1009,8.33,126.27,28.55,0.55,26.12,21.17,33,15.05,37.8,3.006,3,NA
"ZJN1405",73,103.33,55.93,2.07,81.7,1394,8.67,160.57,25.54,0.88,32.71,23.385,52.5,9.22,28.38,3.037,3,NA
"ZJN1409",73,114.33,44.63,1.53,80.3,1918,17.67,115.52,25.87,0.79,46.3,12.815,86,9.83,31.4,3.297,3,NA
"ZJN1410",77,108.33,54.85,2.03,81.7,1058,13,82.59,25.29,0.57,25.55,15.73,87.5,3.97,13.19,2.701,3,NA
"ZJN1417",72,114.33,60.85,1.85,79.7,1378,8.33,165.51,28.4,0.86,35.91,25.5,84,5.66,21.66,3.245,3,NA
"ZJN1421",82,107,53.03,2.43,77.3,1990,8.33,235.61,24.23,0.74,42.57,15.545,85,4.33,13.61,3.269,3,NA
"ZJN1422",75,101,47.17,1.67,82.3,1107,7.67,142.19,22.6,0.84,22.56,16.8,83,1.64,5.91,3.697,2,NA
"ZJN1428",81,110,53.5,1.73,82,1571,12.33,126.61,23.05,0.71,33.35,13.5,90,7.35,22.51,3.275,2,NA
"ZJN1429",82,104.33,50.35,2,84.7,1375,6,229.06,22.07,0.85,27.32,18.715,78,3.56,12.44,3.336,2,NA
"ZJN1432",88,130.5,57.75,2,80.3,1843,9,193.22,21.54,0.7,35.62,18.185,80,2.25,9.52,3.771,2,NA
"ZJN1433",76,108,54.7,1.63,79.3,1545,13,118.58,23.64,0.76,31.89,18.975,85,1.83,5.58,3.716,2,NA
"ZJN1439",87,118,54.55,2.1,77.3,1577,8,195.22,23.58,0.71,34.04,16.695,90,3.23,11.46,2.645,2,NA
"ZJN1440",75,107.67,55.23,2.03,80,1582,7.33,224.4,23.01,0.85,32.7,14.53,80,10.25,26.62,2.94,3,NA
"ZJN1444",85,100.33,55.2,1.57,83,1309,9.67,134,21.01,0.79,24.72,17.895,89,2.09,7.56,3.235,2,NA
"ZJN1446",76,112,55.4,1.93,77.7,1655,9,185.09,23.3,0.75,34.72,16.855,74,4.47,16.88,3.362,2,NA
"ZJN1447",75,117.67,51.8,1.97,75,1368,5.67,244.87,26.11,0.69,32.58,20.83,85,2.85,11.21,2.599,2,NA
"ZJN1448",81,113,44.5,1.8,71.5,951,8,123.12,29.3,0.66,24.37,25.37,79,5.52,18.41,3.205,2,NA
"ZJN1452",82,108.33,50.7,1.63,76,2056,10.33,196.99,25.48,0.9,44.18,25.955,83,7.07,23.24,3.032,2,NA
"ZJN1453",83,108,55.65,2,74.3,1414,6.33,242.15,25.64,0.85,33.19,25.75,75,7.15,26.67,3.223,2,NA
"ZJN1454",83,105.33,49.17,2.5,82.3,1412,7,205.97,27.94,0.77,35.82,21.15,92.5,5.42,22.11,2.064,1,NA
"ZJN1455",85,110.67,47.73,2.1,82,1596,8.67,188.7,23.68,0.72,33.81,29.115,77.5,4.45,15.28,3.264,2,NA
"ZJN1456",85,113,48.2,1.77,71,1588,10,158.41,28.68,0.78,40.61,19.865,82,3.42,13.75,3.384,2,NA
"ZJN1457",74,110.67,40.43,1.77,86.3,2209,14.5,157.42,22.79,0.88,46.45,16.21,84,5.1,16.91,3.272,2,NA
"ZJN1460",83,107,48.97,1.4,85.3,1575,8.33,175.97,21.69,0.74,30.91,16.94,91.5,2.76,9.13,3.613,2,NA
"ZJN1462",90,123.67,47.37,1.6,80.3,2079,8,253.07,24.48,0.73,45.4,20.87,85.5,1.14,5.91,2.367,1,NA
"ZJN1464",76,100.67,46.37,1.43,79.7,1600,10.67,148.19,22.39,0.86,32.74,15.855,86.5,2.54,8,3.061,2,NA
"ZJN1470",76,110.67,49.23,2.1,80,2307,10.67,217.43,22.65,0.87,48.09,19.05,82.5,5.3,13.79,2.685,2,NA
"ZJN1471",81,108.33,45.7,2.23,82.3,1247,6.5,190,27.5,0.8,28.12,14.025,86,8.08,21.48,3.241,3,NA
"ZJN1472",76,106,48.6,1.97,80.7,1384,8.67,158.73,26.35,0.78,33.21,14.76,90,6.72,24.86,2.706,3,NA
"ZJN1476",85,114.67,54.05,2,83.3,1393,8.67,160.94,24.83,0.64,32.64,19.62,93.5,3.74,14.04,3.292,2,NA
"ZJN1483",82,99,52.3,1.73,80,3309,17.5,189.71,22.73,0.71,59.12,13.815,83,8.54,21.43,3.283,3,NA
"ZJN1487",81,103.33,59.23,1.9,79.3,2500,14,180.86,26.5,0.84,59.42,15.96,90,4.02,16.82,3.254,2,NA
"ZJN1488",83,115,42.4,2,82,1562,10,155.45,30.98,0.7,43.06,24.755,72.5,10.86,33.6,3.025,3,NA
"ZJN1491",77,102.33,50.83,1.57,81.3,2063,11.67,177.34,23.4,0.85,42.6,14.815,93,2.94,9.91,3.337,2,NA
"ZJN1497",72,106.67,44.63,1.93,83,1068,9.67,108.66,26.1,0.73,24.65,25.045,52.5,3.24,11.36,3.614,2,NA
"ZJN1501",76,105.67,47.2,1.7,79,1386,12.33,112.39,29.35,0.78,36.22,13.735,94,8.61,29.38,3.276,3,NA
"ZJN1503",76,107.33,49.83,1.83,69.3,2374,10.67,223.69,21.72,0.76,45.14,16.1,90,5.5,17.92,3.274,2,NA
"ZJN1504",81,105.33,62.3,1.83,77.3,1499,8.33,181.34,23.49,0.89,31.33,19.125,83.5,2.87,11.11,3.379,2,NA
"ZJN1507",81,104.67,53.35,2.2,85,1749,9.67,179.55,25.21,0.82,39.57,24.505,80,8.39,30.08,2.208,1,NA
"ZJN1508",83,108,51.7,1.8,81.7,1594,11,144.2,25.27,0.75,35.35,25.355,74,4.28,12.5,3.645,2,NA
"ZJN1509",75,98,49.2,1.73,82,2090,13.67,152.76,21.21,0.75,40.88,24.02,68.5,5.03,15.09,3.33,2,NA
"ZJN1511",77,101.67,50.3,1.53,74.3,2330,16,148.99,19.23,0.77,40.6,24.095,47.5,4.01,12.7,3.259,2,NA
"ZJN1513",82,103.33,40.13,1.73,78,1645,11,150.27,23.92,0.7,35.24,13.4,85,7.21,23.63,2.762,3,NA
"ZJN1515",84,112.67,54.93,1.77,81,2155,14.67,145.21,24.46,0.76,47.33,26.35,73,10.81,42.71,2.584,3,NA
"ZJN1516",75,112.33,58.2,2.03,84,2029,11,182.71,25.13,0.68,45.11,18.015,85,3.4,12.11,3.37,2,NA
"ZJN1521",76,109,60.7,2,74.3,2064,13,158.61,26.45,0.72,46.89,24.435,77.5,7.69,25.11,3.21,2,NA
"ZJN1522",75,96,51.3,2.07,83.7,1527,12,127.84,29.43,0.87,39.58,16.83,97,4.59,15.79,3.52,2,NA
"ZJN1524",85,109,59,1.9,85.3,1554,10.67,143.77,26.95,0.78,37.87,17.84,95.5,4.41,17.57,3.152,2,NA
"ZJN1525",82,101.67,57.57,2.07,80,1487,9.33,163.15,29.12,0.75,39.07,24.775,62.5,12.42,38.96,2.991,3,NA
"ZJN1526",90,127.33,60.05,1.83,78.3,1647,7.67,214.81,22.55,0.78,32.78,17.505,90,5.53,19.62,3.522,2,NA
"ZJN1527",73,107.33,47.8,1.97,82,2080,12.67,160.35,28.26,0.74,50.54,15.92,95,7.86,28.25,3.176,3,NA
"ZJN1528",82,114.33,52.67,1.9,78.3,1761,9.33,194.81,26.07,0.77,41.54,18.835,83,8.68,30.29,2.989,3,NA
"ZJN1529",72,95,50.6,1.83,81.7,1359,6.67,206.45,23.86,0.88,29.25,25.395,67.5,4.76,14.18,3.12,2,NA
"ZJN1530",77,109.67,45.33,2.27,84,1808,8.67,208.54,23.7,0.88,38.54,18.04,90,2.33,8.13,3.329,2,NA
"ZJN1536",97,140.33,45.5,1.83,80.7,1798,8.33,213.68,25.24,0.78,40.42,26.71,91,2.96,12.43,2.547,2,NA
"ZJN1537",77,108,57.7,2.13,84.3,2075,6.33,335.77,18.3,0.83,33.88,25.05,60.5,6.71,20,2.87,3,NA
"ZJN1538",77,105,58.6,2.2,81.7,1418,8.67,164.12,26.76,0.72,34.54,17.21,81,3.56,11.79,3.477,2,NA
"ZJN1540",108,108.67,47.93,1.87,84,1714,10,168.18,26.62,0.65,42.31,22.395,90,0.16,1.19,3.157,1,NA
"ZJN1543",72,121.67,61.7,2,69.3,2070,8.67,238.52,29.48,0.86,52.92,27.46,71.5,12.6,43.14,2.932,3,NA
"ZJN1545",83,110,61.3,2.23,85.3,1408,6.67,217.74,25.55,0.77,33.53,24.68,67,6.62,25.24,2.773,3,NA
"ZJN1546",77,106.67,49.4,1.97,84,1075,7.67,140.43,30.4,0.73,29.51,17.63,85,6.77,22.94,2.953,3,NA
"ZJN1547",77,106,54.93,2.23,83,1004,8.67,115.96,29.48,0.6,27.53,17.84,90,4.23,13.67,3.27,2,NA
"ZJN1548",86,113,56.57,1.7,82,1943,9.33,202.82,24.64,0.78,42.08,23.885,70,4.6,16.55,3.151,2,NA
"ZJN1550",83,113,53.53,1.8,82,1320,9,148.86,32.55,0.8,38.56,25.99,82,8.95,34.29,3.023,3,NA
"ZJN1551",77,108.33,51.93,1.77,85,1035,8,125.85,23.12,0.8,22.22,25.695,47.5,6.5,18.44,3.4,2,NA
"ZJN1552",85,103.33,49.53,1.9,83,2099,11,191.92,25.98,0.69,48.74,28.545,92.5,4.11,16.18,3.084,3,NA
"ZJN1554",82,115.33,48.43,1.8,81.5,1689,9.67,184.55,27.5,0.94,43.22,25.65,35,10.3,39.34,2.582,2,NA
"ZJN1555",80,101.67,51.4,1.87,79.3,1346,11.33,117.47,27.32,0.75,33.55,26.09,53.5,6.78,24.25,3.044,2,NA
"ZJN1556",82,108.67,52.7,1.73,85,2988,18.67,159.42,29.29,0.79,79.89,25.97,48,12.43,50.38,2.173,2,NA
"ZJN1558",84,123,63,1.9,80.3,2275,12,191.52,28.46,0.83,59.5,27.145,86,6.68,22.96,3.203,2,NA
"ZJN1559",81,107,57.55,1.67,75,2567,12.33,208.94,23.33,0.79,52.43,29.855,79,4.54,16.77,3.241,2,NA
"ZJN1562",87,113,58.7,2.03,84.7,1795,8.67,207.81,25.25,0.67,40.95,26.705,86,4.85,18.18,2.864,2,NA
"ZJN1564",87,120.67,53.3,1.87,86,2152,10.5,204.55,22.36,0.7,45.05,26.535,76.5,3.7,15.28,2.69,2,NA
"ZJN1568",91,118.67,43.27,2.17,75.7,2060,7,291.86,26.23,0.62,48.41,18.77,79,2.55,11.24,2.104,1,NA
"ZJN1570",82,97,52.03,2.27,78,1869,6.33,298.19,25.09,0.66,42.2,18.515,85,4.99,20.7,2.184,1,NA
"ZJN1571",96,110.33,23.13,1.83,81,1196,8.33,145.24,28.92,0.83,30.63,22.19,92.5,2.39,6.03,1.83,1,NA
"ZJN1572",89,113.67,37.03,2.27,83.7,1883,9,214.97,28.3,0.7,46.66,23.3,90,5.98,20.48,2.432,1,NA
"ZJN1573",89,100.33,37.57,2.33,81,1020,4.33,237.3,24.43,0.6,22.03,21.12,83,3.49,13.78,1.928,1,NA
"ZJN1574",82,93.33,42.95,2.4,83.3,1004,5,200.82,26.19,0.7,24.47,18.24,92,7.06,26.98,1.967,1,NA
"ZJN1577",86,113,49.93,2.33,81.7,1375,4,343.83,26.41,0.65,32.1,20.92,85,6.5,26.86,2.303,1,NA
"ZJN1578",95,102.67,23.73,1.77,83.7,767,6,133.05,28.04,0.81,19.17,23.325,82.5,5.38,16.8,1.846,1,NA
"ZJN1579",82,96.33,54.35,1.97,84.7,1157,6.33,183.78,24.81,0.73,26.02,18.275,90,3.53,13.42,2.402,1,NA
"ZJN1580",101,90.5,33.43,2,77,1808,6,291.11,26.5,0.82,41.74,21.27,95,0.88,3.86,2.159,1,NA
"ZJN1581",95,103.33,24.7,1.93,79.7,1011,6.33,159.15,28.59,0.9,24.71,21.34,93.5,0.57,2.51,2.262,1,NA
"ZJN1582",83,105,35.8,1.9,83.3,1084,7,154.9,28.53,0.74,28.55,20.22,92,0.78,3.45,2.707,2,NA
"ZJN1583",92,120,37.93,2.37,77.3,2166,6.33,340.64,26.34,0.83,49.75,18.76,95,3.35,13.11,2.146,1,NA
"ZJN1584",90,117.33,32.53,1.87,85.7,1136,5.33,214.69,25.6,0.72,25.45,20.765,86.5,6.19,17.98,2.176,1,NA
"ZJN1585",83,111,41.17,1.97,80.7,1268,6.33,200.04,24.89,0.68,28.85,16.83,85,7.69,22.16,2.241,1,NA
"ZJN1589",85,116,55.1,2.2,81,1955,7.33,268.21,23.22,0.76,41.6,15.6,90,4.77,15.18,2.285,1,NA
"ZJN1590",93,124,39.73,2.23,82.7,1958,6.67,295.82,27.44,0.84,47.29,19.245,96,3.46,13.39,2.022,1,NA
"ZJN1591",95,128,35.8,2.43,81.3,1599,6.33,252.54,27.65,0.81,37.92,19.405,91.5,3.45,12.42,2.562,2,NA
"ZJN1592",95,130,36.8,1.77,78.7,1442,9,158.95,25.51,0.89,32.04,20.53,83,1.85,8.76,2.048,1,NA
"ZJN1593",96,118.67,29.57,1.97,75,1428,5.33,266.78,25.77,0.71,32.4,20.01,88,1.78,7.87,2.264,1,NA
"ZJN1594",96,122,41.8,2.57,79,2074,6,352.17,25.73,0.82,47.09,20.31,87,1.97,6.54,2.325,1,NA
"ZJN1598",100,119,33.9,2.03,83.7,1706,5.67,291.9,29.51,0.83,43.68,22.045,88,2.11,7.39,2.094,1,NA
"ZJN1599",92,111.67,32.77,2,80.7,1150,4.67,257.35,26.44,0.79,27.4,22.17,87.5,5.13,16.67,1.99,1,NA
"ZJN1601",88,122,53.6,2.5,76.7,1580,5.33,296.18,23.22,0.75,33.1,22.12,86,3.84,14.66,2.394,1,NA
"ZJN1603",82,102.33,39.87,2.5,84,1414,6,235.44,27.39,0.69,35.71,16.325,85,8.73,33.87,1.929,1,NA
"ZJN1604",83,107.33,36.4,2.13,80,853,4.33,194.52,28.85,0.65,23.24,17.745,85,13.86,51.65,1.956,2,NA
"ZJN1608",93,117.33,43.57,2.1,80,2034,5.67,350.31,25.49,0.78,44.88,19.205,85,3.18,15.2,2.158,1,NA
"ZJN1610",82,116,39.67,2.03,82.7,1321,6.33,224.52,26.32,0.76,28.77,16.905,76.5,6.26,17.73,2.142,1,NA
"ZJN1612",96,127,40.23,2.33,83.3,2668,7,376.94,24.23,0.84,55.79,18.94,90,0.79,3.64,2.571,2,NA
"ZJN1613",98,125,40.93,2.43,81.7,1497,6,251.02,25.88,0.71,34.92,19.925,90,2.9,12.2,2.16,1,NA
"ZJN1614",87,130,36.3,2.07,81,1630,10,159.91,25.38,0.49,34.02,25.775,62.5,5.51,19.73,2.288,1,NA
"ZJN1619",90,115,41.8,2.43,83.7,2076,5,417.31,23.75,0.83,42.92,20.045,86,2.32,9.47,2.275,1,NA
"ZJN1620",97,115.33,23.83,1.73,81,1650,10,165.35,29.87,0.87,44.46,21.34,87,4.5,11.97,1.872,1,NA
"ZJN1622",81,121.33,63.25,2,83.7,3013,12,257.35,22.29,0.71,61.49,15.84,80,6.29,20.23,2.225,1,NA
"ZJN1623",95,118,29.9,2,81,1260,7.33,170.77,32.14,0.88,35.11,22.275,90,3.88,13.11,1.869,1,NA
"ZJN1624",86,116.67,53.35,2.5,82,1141,5.33,214.16,30.81,0.62,32.38,18.165,87.5,13.03,47.51,2.157,1,NA
"ZJN1625",88,110.67,47.53,2.37,83.3,1067,6.67,158.1,24.58,0.5,23.86,17.425,87.5,5.78,20.92,1.921,1,NA
"ZJN1627",88,111.67,42.53,2.03,67.5,1348,4.33,307.07,24,0.83,28.16,20.39,82,2.13,6.4,2.274,1,NA
"ZJN1628",97,119.67,35.47,2.23,72.7,2015,5.33,374.9,24.71,0.88,43.34,20.135,94,0.87,4.01,2.082,1,NA
"ZJN1631",92,123,29.83,2.1,78.3,1522,9.67,159.48,32.33,0.77,45.6,21.325,85,7.62,24.7,1.791,1,NA
"ZJN1634",97,116.67,34.63,2.43,81,1603,6.67,242.86,28.43,0.85,39.6,21.56,90,4.39,18.21,2.126,1,NA
"ZJN1641",87,106.33,25.43,1.9,83.7,1061,9.33,111.98,27.93,0.53,27.06,18.67,78.5,3.53,12.14,1.867,1,NA
"ZJN1643",97,96,32.5,2.03,83,1774,9.5,203.56,29.78,0.88,44.77,21.2,83,3.39,10.18,2.098,1,NA
"ZJN1644",96,116,33.6,1.87,81.7,1261,7.33,175.43,30.06,0.86,32.73,22.685,95,5.56,23.28,1.762,1,NA
"ZJN1657",91,129.67,55.45,1.7,84.7,1503,9,168.7,27.88,0.79,36.67,18.94,85,2.61,10.08,3.886,2,NA
"ZJN1658",92,127.67,58.4,2.13,82,1143,6,190.5,25.59,0.74,26.99,17.62,82,2.87,11.69,3.438,2,NA
"ZJN1661",81,107.67,48.73,1.5,74.7,1989,12.67,156.6,21.08,0.79,36.85,18.475,78,1.63,6.39,3.827,1,NA
"ZJN1662",86,104.33,38.37,2.03,77.7,669,4.33,164,26.55,0.81,16.21,18.355,85,2.14,7.99,3.171,1,NA
"ZJN1663",127,112,41.8,2.23,86.5,993,7.33,135.18,27.56,0.59,25.13,23.77,81,0.65,3.1,3.157,1,NA
"ZJN1666",86,108,53.37,1.87,85,2082,11.33,184.29,24.6,0.82,44.17,20.285,70,3.08,11.6,3.388,1,NA
