ID	env	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
W083	2013HN	20.13333333	9.666666667	21.66666667	9.083333333	2.566666667	6	2.833333333	65.36363636
W077	2013HN	22.36666667	8.333333333	15.66666667	12.11666667	3.6	6.166666667	3	65.42
C098	2013HN	20.3	7.666666667	14.66666667	7.916666667	2.333333333	5.333333333	3.333333333	65.65625
C019	2013HN	18.9	6.333333333	17	9.833333333	2.916666667	5.666666667	3	65.72
W028	2013HN	21.86666667	7	18.66666667	10.6	3.066666667	5.833333333	3.333333333	65.83333333
W220	2013HN	21.5	8.333333333	14.66666667	12.11666667	3.766666667	5.833333333	3.166666667	66.86842105
W068	2013HN	NA	NA	NA	NA	NA	NA	NA	67.64705882
W014	2013HN	19	8.333333333	25.66666667	8.316666667	2.916666667	5.166666667	3.333333333	67.94642857
C157	2013HN	17.56666667	7.666666667	16.33333333	9.95	2.85	5.666666667	3.166666667	68.38888889
C057	2013HN	17.63333333	8.333333333	19.33333333	8.5	2.3	5	3	69.2
W080	2013HN	21.43333333	9.333333333	17	10.16666667	2.633333333	5.666666667	2.833333333	69.20512821
C044	2013HN	21.33333333	9.666666667	27	9.2	2.45	5.666666667	3.5	69.25
C032	2013HN	19.1	13	22.33333333	8.55	2.583333333	4.666666667	3.333333333	70.125
C158	2013HN	18.2	6.666666667	12.66666667	8.866666667	2.566666667	5.5	2.833333333	70.20833333
C102	2013HN	17	8.333333333	21.66666667	7.08	2.366666667	5.333333333	3.666666667	70.51515152
W136	2013HN	21.43333333	9	13.66666667	7.533333333	1.783333333	5.833333333	2.833333333	70.66666667
C022	2013HN	19.2	8	18.33333333	8.666666667	2.833333333	4.666666667	2.5	70.85714286
W133	2013HN	22.96666667	10	16.66666667	9.6	1.866666667	6.333333333	2	70.92857143
W090	2013HN	19.13333333	6.333333333	8.333333333	9.15	2.133333333	5.666666667	2.666666667	71.3877551
W274	2013HN	17.26666667	7.333333333	14	8.65	2.283333333	6	2.833333333	71.625
C112	2013HN	17.66666667	7.666666667	14.33333333	9.416666667	2.583333333	5.333333333	2.666666667	71.95833333
W253	2013HN	25.03333333	12.66666667	20.33333333	10.6	2.516666667	5.833333333	3.166666667	72
C113	2013HN	20.46666667	7	14.66666667	9.266666667	2.416666667	5.166666667	2.666666667	72.4
W072	2013HN	17.2	6.666666667	17.66666667	7.816666667	2.84	4.333333333	4.666666667	72.6875
C116	2013HN	13.53333333	11	22	6	1.666666667	6	3.333333333	72.76666667
W107	2013HN	23.4	8.333333333	26.33333333	12.21666667	3.35	6	4	73.825
C145	2013HN	20.86666667	10.66666667	28.33333333	9.716666667	2.95	5.5	3.166666667	74
C046	2013HN	18.93333333	7.333333333	22.33333333	10.98333333	3.7	5.5	3.833333333	74.20689655
C066	2013HN	24.86666667	11	22.66666667	10.31666667	2.916666667	6.666666667	3.166666667	74.22857143
W081	2013HN	25.66666667	7.333333333	14.33333333	12	3.3	6	3.333333333	74.66666667
W143	2013HN	20.63333333	7.666666667	22.33333333	11.53333333	3.9	5.5	3.833333333	74.76666667
W249	2013HN	20.6	9.666666667	16.66666667	8.65	2.433333333	6	3	75.66666667
W139	2013HN	16.1	8.666666667	13.33333333	8.383333333	2.3	5.5	4	75.66666667
C020	2013HN	17.03333333	7.666666667	14	8.2	2.45	6.166666667	3	75.75
W292	2013HN	21.63333333	7.333333333	19	10.43333333	3.083333333	6.166666667	3.5	76.06896552
W003	2013HN	25.8	12	33	10.46666667	2.833333333	5.833333333	3.333333333	76.42857143
C160	2013HN	19.1	8	19.66666667	9.716666667	3.1	5.333333333	3.666666667	76.89473684
W219	2013HN	23.6	9.666666667	18.66666667	9.683333333	2.933333333	6	2.833333333	77.46153846
