"Cultivar Name","Cultivar ID","Subpopulation","Heading Date (day)"
"Gazan","W068","Temperate Japonica","90"
"Geng87-304","C063","Temperate Japonica","106"
"Gerdeh","C003","Japonica Intermediate","82"
"Ginga","W261","Intermediate","85"
"Gizal159","W209","Temperate Japonica","109"
"Gongju73","C039","Indica I","86"
"Govnd","W237","Indica II","105"
"GPNO_1106","W053","Tropical Japonica","105"
"GPNO_5055","W329","Tropical Japonica","107"
"Grassy","W057","Tropical Japonica","100"
"Gu154","C118","Indica II","96"
"Guangkexiangnuo","W319","Temperate Japonica","127"
"Guangluai-4-1","C020","Indica I","71"
"Guangluai15","C158","Indica I","73"
"Guantuibaihe","W325","Temperate Japonica","117"
"Gui630","C166","Indica Intermediate","89"
"Guichao2hao","C042","Indica Intermediate","92"
"Guihuahuang","C052","Temperate Japonica","95"
"Gumei2hao","W156","Indica I","91"
"GUYANE_1","W145","Indica Intermediate","114"
"Gzhenshan97B","C161","Indica I","85"
"H57-3-1","W019","Japonica Intermediate","91"
"Hanmadao-1","C080","Indica I","91"
"Hanmadao-2","C047","Indica I","97"
"Haobayong1","C179","Temperate Japonica","104"
"Haobuka","C084","Japonica Intermediate","105"
"Haolvguangnian","W326","Japonica Intermediate","125"
"Haomake(K)","C185","Japonica Intermediate","108"
"HB-6-2","W052","Temperate Japonica","103"
"Heen_goda_wee","W275","Tropical Japonica","113"
"Heidu4","C081","Indica I","89"
"Heigeng2hao","C154","Temperate Japonica","58"
"Heiheaihui","W200","Indica Intermediate","101"
"Heimichut","W248","Indica I","92"
"Hengxianliangchun","C182","Indica I","88"
"Heo_Trang","W114","Indica III","122"
"Hi_Muke","W108","Aus","91"
"HKG_98","W105","Aus","97"
"Hongainuo","C098","Indica Intermediate","114"
"Hongkezhenuo","C106","Temperate Japonica","107"
"Hongmisandan","C195","Temperate Japonica","113"
"Hongwan1hao","C065","Indica Intermediate","121"
"Hsin_Hsing_Pai_Ku","W132","Indica I","89"
"Huajingxian74","W157","Indica Intermediate","94"
"Huangkezaonian","C075","Temperate Japonica","86"
"Huangpinuo","C144","Temperate Japonica","111"
"Huangsiguizhan","C045","Indica Intermediate","90"
"Huhui628","C029","Japonica Intermediate","88"
"Huke3hao","C043","Indica I","94"
"IARI_6621","W131","Aus","95"
"IARI_6626","W020","Aus","95"
"Iksan438","W175","Intermediate","87"
"INIAP_7","W040","Indica II","109"
"IR50","W213","Indica Intermediate","116"
"IR58025B","W189","Indica II","96"
"ir6","W222","Indica II","105"
"IR65600-27-1-2-2","W269","Indica Intermediate","88"
"IR661-1","C164","Indica II","85"
"IR66897B","W188","Indica II","92"
"IR68552-55-3-2","W187","Indica Intermediate","92"
"IR72","W169","Indica II","98"
"IR_2061-214-2-3","W073","Indica II","83"
"IR_2071-625-1-252","W291","Indica II","105"
"IR_238","W066","Indica Intermediate","95"
"IR_36","W298","Indica II","104"
"IR_58614-B-B-8-2","W084","Indica Intermediate","95"
"IR_64","W301","Indica II","105"
"IR_661-1-140-3-117","W289","Indica II","99"
"IR_8","W293","Indica II","113"
"IR_9660-48-1-1-2","W046","Indica II","105"
"IRAT109","C153","Tropical Japonica","89"
"IRAT352","W217","Indica Intermediate","114"
"Ittikulama","W140","Aus","96"
"Jabor_sail","W279","Aus","103"
"JAYA","W299","Indica Intermediate","93"
"Jhona349","W214","Aus","105"
"Jiabala","C040","Indica I","88"
"Jiangnongzao1hao","C117","Indica Intermediate","88"
"Jiangxisimiao","W201","Indica Intermediate","98"
"Jiefangxian","C125","Indica I","84"
"Jinbaoyin","C097","Indica Intermediate","114"
"Jindao1hao","C056","Temperate Japonica","75"
"JinghuB","W327","Temperate Japonica","88"
"Jinnante43B","C112","Indica I","73"
"JinnanteB","C022","Indica I","70"
"Jinxibai-1","C096","Indica Intermediate","110"
"Jinyou1hao","C049","Indica Intermediate","93"
"Jinzhinuo","C132","Indica Intermediate","104"
"JP_5","W107","Indica Intermediate","120"
"Jumli_dhan","W047","Japonica Intermediate","97"
"JWR221","C174","Indica II","104"
"Jyanak","W143","Japonica Intermediate","112"
