ID	FlagLeafAngle_Hainan	FlagLeafAngle_Wuhan
C001	27.7	16.2
C002	20.7	16
C003	23.3	92.5
C004	25	31.3
C005	43.8	91
C006	6.7	10.8
C007	8.7	8.5
C008	10	6.3
C009	19.7	12.5
C010	NA	24.8
C011	8	11.2
C012	17	NA
C013	6.2	10.3
C014	20	50
C015	5	21
C016	31.7	34.3
C017	10.3	77.8
C018	35.8	30.8
C019	9.4	23.5
C020	5	16.3
C021	15	29
C022	18.3	21
C023	38.3	61.7
C024	15.2	16.7
C025	18.3	11.5
C026	NA	16.8
C027	19	15.3
C028	NA	NA
C029	NA	NA
C030	14.8	12.5
C031	13.3	23.3
C032	21.5	45.5
C033	21.2	17
C034	9.2	19.3
C035	44.2	41.2
C036	9.2	19.7
C037	25.3	30
C038	13	21.3
C039	19.5	22.7
C040	19.8	21.7
C041	36	48.9
C042	7.3	10.5
C043	15.5	18.5
C044	11.7	11.2
C045	11.5	11.2
C046	10	13.5
C047	21.3	16.2
C048	NA	NA
C049	25.2	18.2
C050	15	15.8
C051	17.5	17.8
C052	15	17.5
C053	39.3	19.2
C054	17.3	10.3
C055	25.8	22
C056	13.3	24
C057	24.7	34
C058	19.5	18.5
C059	23.8	29
C060	7.8	16.3
C061	18	17.3
C062	18.5	15.8
C063	9.5	9
C064	20	12.8
C065	15.5	10.8
C066	7.3	20
C067	18.3	17.5
C068	15.2	14.8
C069	4.3	13.2
C070	12.2	21.7
C071	13.3	13.8
C072	27.3	18.7
C073	23.5	30.7
C074	81.7	118.2
C075	12.5	25.3
C076	31	14.3
C077	19.8	19.7
C078	12	19.3
C079	41.7	31.7
C080	29.5	18.7
C081	18	22.3
C082	27.8	42.5
C083	37.5	32.2
C084	152.5	163
C085	86.7	23.3
C086	34.2	22.5
C087	66.2	27.2
C088	33.9	10.7
C089	28.3	27.8
C090	21.5	16.2
C091	21	24.7
C092	19.3	61
C093	NA	14
C094	16.2	19.3
C095	25.7	9.2
C096	8.7	19.7
C097	21.7	22.7
C098	9.2	21.2
C099	6.7	6.5
C100	12.5	63.2
C101	40.8	25.7
C102	11.7	11.8
C103	91.3	25.8
C104	22.6	16.5
C105	10.8	10.8
C106	45.8	19
C107	25.8	8.5
C108	26	10.7
C109	52.2	72.7
C110	23.6	13
C111	16.5	16.6
C112	18	19
C113	7.8	13.8
C114	6.3	27.5
C115	9.6	10
C116	7.8	24.8
C117	25	25.5
C118	15.8	10.3
C119	10.3	14.5
C120	21.7	51.2
C121	18.5	19.2
C122	23.3	30.9
C123	26.6	26.7
C124	8.8	11
C125	16.3	23.7
C127	30	51.5
C128	11	22.5
C129	7.5	14.7
C130	65.1	24.3
C131	18.5	80.2
C132	19.3	11.5
C133	71.3	130.8
C134	75	101.2
C135	34.3	26.8
C136	45	106.2
C137	41.8	23.7
C138	81.5	18.2
C139	20	31
